,id,name,title,unit_id,exposee_id,project_id,street,house_number,district,region,zip_code,city,country,address,short_address,lat,lng,number_of_rooms,price,base_rent,living_space,number_of_bed_rooms,number_of_bath_rooms,property_space_value,images,status,free_from,rented
10,220048,Patricia Bauer  - Berlin,,,,,Patricia Bauer,,Schöneberg,Berlin,12169,Berlin,DEU,"Patricia Bauer , 12169 Berlin, Deutschland","Patricia Bauer , 12169 Berlin",,,3.0,,0.0,60.0,,,60.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
11,221364,Isabelle Hessel  - Berlin,,,,,Isabelle Hessel,,Mitte,Berlin,10178,Berlin,DEU,"Isabelle Hessel , 10178 Berlin, Deutschland","Isabelle Hessel , 10178 Berlin",,,3.0,,0.0,139.0,,,139.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
12,222439,Zoppoter Straße 58 - Berlin,,,,,Zoppoter Straße,58,Schmargendorf,,14199,Berlin,DEU,"Zoppoter Straße 58, 14199 Berlin, Deutschland","Zoppoter Straße 58, 14199 Berlin",52.46958,13.29786,5.0,,0.0,120.0,,,120.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
13,223813,Karl Kern  - Berlin,,,,,Karl Kern,,,,12247,Berlin,DEU,"Karl Kern , 12247 Berlin, Deutschland","Karl Kern , 12247 Berlin",,,4.0,,0.0,101.0,,,101.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
14,239538,Andreas Selmaier  - Berlin,,,,,Andreas Selmaier,,,Berlin,10781,Berlin,DEU,"Andreas Selmaier , 10781 Berlin, Deutschland","Andreas Selmaier , 10781 Berlin",,,4.0,,0.0,90.0,,,90.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
15,249507,Detlev Dunkel  - Berlin,,,,,Detlev Dunkel,,Rahnsdorf,Berlin,12589,Berlin,DEU,"Detlev Dunkel , 12589 Berlin, Deutschland","Detlev Dunkel , 12589 Berlin",,,5.0,,0.0,180.0,,,180.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
16,202787,Westendallee 111 - Berlin,,,,,Westendallee,111,Westend,Berlin,14052,Berlin,DEU,"Westendallee 111, 14052 Berlin, Deutschland","Westendallee 111, 14052 Berlin",52.5109942,13.2561309,2.0,,0.0,77.0,,,77.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
17,202794,Spießweg 74 - Berlin,,,,,Spießweg,74,,,13437,Berlin,DEU,"Spießweg 74, 13437 Berlin, Deutschland","Spießweg 74, 13437 Berlin",,,5.0,,0.0,120.0,,,120.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
18,202921,Alt-Marienfelde 25 - Berlin,,,,,Alt-Marienfelde,25,Tempelhof,Berlin,12277,Berlin,DEU,"Alt-Marienfelde 25, 12277 Berlin, Deutschland","Alt-Marienfelde 25, 12277 Berlin",52.4115039,13.3684093,12.0,,0.0,360.0,,,360.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
19,202900,Finkenkruger Weg 75 - Berlin,,,,,Finkenkruger Weg,75,Staaken,Berlin,13591,Berlin,DEU,"Finkenkruger Weg 75, 13591 Berlin, Deutschland","Finkenkruger Weg 75, 13591 Berlin",52.54669,13.14354,5.0,,0.0,140.0,,,140.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
0,203069,Nordsternstraße 3 - Berlin,,,,,Nordsternstraße,3,Schöneberg,Berlin,10825,Berlin,DEU,"Nordsternstraße 3, 10825 Berlin, Deutschland","Nordsternstraße 3, 10825 Berlin",52.4862208,13.3418969,2.5,,0.0,70.0,,,70.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
1,255787,Schleiengang 11 - Berlin,,,,,Schleiengang,11,Rahnsdorf,Berlin,12589,Berlin,DEU,"Schleiengang 11, 12589 Berlin, Deutschland","Schleiengang 11, 12589 Berlin",52.4323116,13.7000856,3.0,,0.0,150.0,,,150.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
2,203302,Waldweg 51 - Beelitz,,,,,Waldweg,51,,,14547,Beelitz,DEU,"Waldweg 51, 14547 Beelitz, Deutschland","Waldweg 51, 14547 Beelitz",52.1650894,12.9238482,,,0.0,498.0,,,498.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
3,203520,Knut Reibert  - Berlin,,,,,Knut Reibert,,Lichterfelde,Berlin,12207,Berlin,DEU,"Knut Reibert , 12207 Berlin, Deutschland","Knut Reibert , 12207 Berlin",,,,,0.0,0.0,,,0.0,[],{},,False
4,204210,Wartburgstraße 29A - Berlin,,,,,Wartburgstraße,29A,Schöneberg,Berlin,10825,Berlin,DEU,"Wartburgstraße 29A, 10825 Berlin, Deutschland","Wartburgstraße 29A, 10825 Berlin",52.486436,13.341466,2.0,,0.0,55.0,,,55.0,[],{},,False
5,204885,204885,,,,,,,,,,,DEU,Deutschland,,,,,,0.0,0.0,,,0.0,[],{},,False
6,203300,Martin Wendel  - Berlin,,,,,Martin Wendel,,Zehlendorf,Berlin,14169,Berlin,DEU,"Martin Wendel , 14169 Berlin, Deutschland","Martin Wendel , 14169 Berlin",,,3.0,,0.0,90.0,,,90.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,False
7,202966,Mindener Str. 24 - Berlin,,,,,Mindener Str.,24,Charlottenburg-Wilmersdorf,Berlin,10589,Berlin,DEU,"Mindener Str. 24, 10589 Berlin, Deutschland","Mindener Str. 24, 10589 Berlin",,,3.0,,0.0,107.0,,,107.0,[],"{'id': 5978, 'name': 'Akquise', 'color': '#ed2b31'}",,True
